iter	MultiClass
0	5.932112493
1	5.656489157
2	5.555784959
3	5.345977798
4	5.192768349
5	5.020446433
6	4.901892783
7	4.856808546
8	4.76070793
9	4.691009113
10	4.650492953
11	4.611091902
12	4.540485344
13	4.491319828
14	4.404911552
15	4.297703074
16	4.267166479
17	4.226331449
18	4.168009417
19	4.134667946
20	4.084902838
21	4.055909291
22	4.03241333
23	3.983505002
24	3.980974535
25	3.976446072
26	3.900463614
27	3.880014517
28	3.864078251
29	3.844811803
30	3.844496051
31	3.818620273
32	3.817544945
33	3.7640487
34	3.736889128
35	3.735186565
36	3.731820495
37	3.717044309
38	3.667389117
39	3.661824648
40	3.634978665
41	3.571782487
42	3.550534987
43	3.550411895
44	3.540122612
45	3.539263222
46	3.53883357
47	3.519423571
48	3.51115084
49	3.510751803
