iter	Passed	Remaining
0	40991	2008584
1	77798	1867169
2	114747	1797705
3	151827	1746018
4	190034	1710309
5	227963	1671729
6	265903	1633409
7	304273	1597437
8	343253	1563709
9	383422	1533690
10	422820	1499091
11	460888	1459479
12	498871	1419864
13	536264	1378966
14	574549	1340614
15	613559	1303813
16	651604	1264879
17	689062	1225000
18	727556	1187065
19	765270	1147905
20	804563	1111063
21	842576	1072370
22	881075	1034305
23	919279	995886
24	956013	956013
25	993280	916874
26	1029421	876915
27	1066046	837607
28	1102312	798226
29	1138690	759126
30	1175313	720353
31	1213834	682781
32	1251739	644835
33	1289791	606960
34	1327900	569100
35	1365205	530913
36	1402826	492884
37	1439919	454711
38	1468337	414146
39	1505649	376412
40	1542958	338698
41	1579558	300868
42	1617727	263350
43	1654760	225649
44	1691672	187963
45	1728842	150334
46	1766558	112759
47	1804315	75179
48	1841130	37574
49	1878347	0
